query_id,gold_place_name,gold_district,hit_at_1,hit_at_3,hit_at_5,hit_at_10,best_hit_rank,recommended_top1,recommended_top3,reason_estimate
2026-03-10_17:40_중구,황학시장 입구,중구,False,False,False,False,,남대문시장,남대문시장; 평화시장; 삼익패션타운,정답 장소가 raw 후보군에 없어 recall 한계
2026-03-11_15:10_영등포구,영등포전통시장 남문,영등포구,False,True,True,True,2,영등포유통상가,영등포유통상가; 영등포전통시장; 영등포시장기계공구상가,자치구 일치 또는 생활권 인접 후보가 상위에 배치되어 hit
2026-03-11_16:20_영등포구,대림중앙시장,영등포구,False,False,True,True,5,영등포유통상가,영등포유통상가; 영등포전통시장; 영등포시장기계공구상가,자치구 일치 또는 생활권 인접 후보가 상위에 배치되어 hit
2026-03-12_16:00_강서구,방신전통시장,강서구,True,True,True,True,1,방신전통시장,방신전통시장; 공항동 먹자골목 골목형상점가; 강서구청먹자골목 골목형상점가,자치구 일치 또는 생활권 인접 후보가 상위에 배치되어 hit
2026-03-12_17:25_강서구,남부골목시장,강서구,False,False,True,True,5,공항동 먹자골목 골목형상점가,공항동 먹자골목 골목형상점가; 강서구청먹자골목 골목형상점가; 까치산시장,자치구 일치 또는 생활권 인접 후보가 상위에 배치되어 hit
2026-03-13_14:10_노원구,상계중앙시장,노원구,False,True,True,True,2,공릉동도깨비시장,공릉동도깨비시장; 상계중앙시장; 장안 마실 골목형상점가,자치구 일치 또는 생활권 인접 후보가 상위에 배치되어 hit
2026-03-13_14:50_노원구,구립수락노인종합복지관,노원구,False,False,False,False,,공릉노인복지관,공릉노인복지관; 구립신내노인종합복지관; 강북노인종합복지관,정답 장소가 raw 후보군에 없어 recall 한계
2026-03-13_15:30_노원구,공릉도깨비시장,노원구,False,False,False,False,,공릉동도깨비시장,공릉동도깨비시장; 상계중앙시장; 장안 마실 골목형상점가,정답 장소가 raw 후보군에 없어 recall 한계
2026-03-16_13:00_구로구,남구로시장,구로구,False,True,True,True,2,오류버들시장 골목형상점가,오류버들시장 골목형상점가; 남구로시장; 그라운드고척 골목형상점가,자치구 일치 또는 생활권 인접 후보가 상위에 배치되어 hit
2026-03-16_14:00_구로구,궁동종합사회복지관,구로구,False,False,False,False,,구로노인종합복지관,구로노인종합복지관; 관악노인종합복지관; 성수1가2동노인복지관 대현분소,정답 장소가 raw 후보군에 없어 recall 한계
2026-03-17_14:00_마포구,"망원시장, 월드컵시장",마포구,False,True,True,True,3,아현시장,아현시장; 연남동골목형상점가; 망원시장,자치구 일치 또는 생활권 인접 후보가 상위에 배치되어 hit
2026-03-19_10:00_송파구,잠실학생체육관,송파구,False,False,False,False,,잠실(송파구청),잠실(송파구청); 신림; 서울역,정답 장소가 raw 후보군에 없어 recall 한계
2026-03-24_17:00_광화문,세종대로 사거리 광화문 광장,광화문,False,False,False,False,,서울역,서울역; 종각; 혜화,정답 장소가 raw 후보군에 없어 recall 한계
2026-03-24_17:40_종로구,세종마을 음식문화거리,종로구,False,False,False,True,8,동대문종합시장,동대문종합시장; 광장전통시장; 광장시장,자치구 일치 또는 생활권 인접 후보가 상위에 배치되어 hit
2026-03-25_17:20_광진구,중곡제일골목시장,광진구,False,True,True,True,3,신성전통시장,신성전통시장; 자양전통시장; 중곡제일골목시장,자치구 일치 또는 생활권 인접 후보가 상위에 배치되어 hit
2026-03-25_18:15_광진구,건대 맛의거리,광진구,False,False,False,False,,신성전통시장,신성전통시장; 자양전통시장; 중곡제일골목시장,정답 장소가 raw 후보군에 없어 recall 한계
2026-03-26_16:00_관악구,도림천,관악구,False,False,False,False,,신림,신림; 서울대입구(관악구청); 고속터미널,정답 장소가 raw 후보군에 없어 recall 한계
2026-03-26_16:15_관악구,신원시장,관악구,False,False,False,True,6,신림별빛거리 골목형상점가,신림별빛거리 골목형상점가; 녹두S밸리 골목형상점가; 행운담길 골목형상점가,자치구 일치 또는 생활권 인접 후보가 상위에 배치되어 hit
2026-03-28_12:50_성동구,응봉산 팔각정,성동구,False,False,False,False,,성수,성수; 서울역; 강남,정답 장소가 raw 후보군에 없어 recall 한계
2026-03-30_11:00_동작구,노량진수산시장,동작구,True,True,True,True,1,노량진수산시장골목형상점가,노량진수산시장골목형상점가; 성대전통시장; 상도전통시장,자치구 일치 또는 생활권 인접 후보가 상위에 배치되어 hit
2026-03-31_11:30_동대문구,장안동 벚꽃길,동대문구,False,False,False,False,,신림,신림; 잠실(송파구청); 서울역,정답 장소가 raw 후보군에 없어 recall 한계
2026-04-02_16:00_양천구,파리공원,양천구,False,False,False,False,,서울역,서울역; 잠실(송파구청); 강남,정답 장소가 raw 후보군에 없어 recall 한계
2026-04-04_10:00_노원구,마들스포츠타운,노원구,False,False,False,False,,신림,신림; 노원; 잠실(송파구청),정답 장소가 raw 후보군에 없어 recall 한계
2026-04-05_17:40_양천구,양재천 수변무대 일대,양천구,False,False,False,False,,서울역,서울역; 잠실(송파구청); 강남,정답 장소가 raw 후보군에 없어 recall 한계
2026-04-06_16:30_강북구,수유시장,강북구,True,True,True,True,1,수유전통시장,수유전통시장; 강북북부골목시장; 미소상인회 골목형상점가,자치구 일치 또는 생활권 인접 후보가 상위에 배치되어 hit
2026-04-06_18:00_성북구,성북천 상점가,성북구,False,False,False,False,,월곡달빛오거리골목형상점가,월곡달빛오거리골목형상점가; 종암북바위길골목형상점가; 성북천골목형상점가,정답 장소가 raw 후보군에 없어 recall 한계
2026-04-07_15:40_동작구,남성사계시장,동작구,False,False,False,True,6,노량진수산시장골목형상점가,노량진수산시장골목형상점가; 성대전통시장; 상도전통시장,자치구 일치 또는 생활권 인접 후보가 상위에 배치되어 hit
2026-04-07_16:40_동작구,성대전통시장,동작구,False,True,True,True,2,노량진수산시장골목형상점가,노량진수산시장골목형상점가; 성대전통시장; 상도전통시장,자치구 일치 또는 생활권 인접 후보가 상위에 배치되어 hit
2026-04-08_17:00_서대문구,영천시장,서대문구,False,True,True,True,2,포방터시장,포방터시장; 영천시장; 남이동길골목형상점가,자치구 일치 또는 생활권 인접 후보가 상위에 배치되어 hit
2026-04-08_17:55_서대문구,홍제천 인공폭포,서대문구,False,False,False,False,,서울역,서울역; 홍대입구; 잠실(송파구청),정답 장소가 raw 후보군에 없어 recall 한계
2026-04-09_15:00_중랑구,동원시장,중랑구,False,False,False,False,,우림골목시장,우림골목시장; 동원전통종합시장; 상봉먹자 골목형상점가,정답 장소가 raw 후보군에 없어 recall 한계
2026-04-09_15:50_중랑구,우림시장,중랑구,False,False,False,False,,우림골목시장,우림골목시장; 동원전통종합시장; 상봉먹자 골목형상점가,정답 장소가 raw 후보군에 없어 recall 한계
2026-04-15_10:55_종로구,북촌의 봄,종로구,False,False,False,False,,동대문종합시장,동대문종합시장; 광장전통시장; 광장시장,정답 장소가 raw 후보군에 없어 recall 한계
2026-04-17_07:30_송파구,가락몰 농수산물시장,송파구,False,False,False,False,,가락몰 골목형상점가,가락몰 골목형상점가; 방이시장; 풍납시장,정답 장소가 raw 후보군에 없어 recall 한계
2026-04-17_15:30_강동구,명일동 싱크홀 현장,강동구,False,False,False,False,,잠실(송파구청),잠실(송파구청); 강남; 서울역,정답 장소가 raw 후보군에 없어 recall 한계
